user,num_pull_requests,num_followers,num_following,num_contributions,num_repos
jabref,1,0,0,0,0
NiD133,1,0,0,414,3
Alex-Chenzilin,1,0,0,12,11
Siedlerchr,3,0,0,1945,51
calixtus,1,0,0,313,7
mohanNaryana,1,0,0,6,5
Maformatiker,1,0,0,1,3
MaryJml,1,0,0,6,6
milescajus,1,0,0,551,15
dependabot[bot],1,0,0,0,0
Boolunt,1,0,0,5,2
robyquin,1,0,0,7,2
roryoday,1,0,0,8,13
VernonKwa,1,0,0,4,2
leonzolati,1,0,0,9,4
DunkDoge,1,0,0,4,2
YesWeCandrew,1,0,0,4,2
sjb-ch1mp,1,0,0,45,17
shafinkamal,1,0,0,6,3
tomnguye,1,0,0,2,4
tobiasdiez,2,0,0,1375,106
qingyacanxue,1,0,0,5,9
btut,2,0,0,42,11
koppor,1,0,0,931,251
vithlaithla,1,0,0,191,18
k3KAW8Pnf7mkmdSMPHz27,1,0,0,749,32
dmadoery,1,0,0,3,1
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
jabref,1,0,0,0,0
NiD133,1,0,0,414,3
Alex-Chenzilin,1,0,0,12,11
Siedlerchr,3,0,0,1945,51
calixtus,1,0,0,313,7
mohanNaryana,1,0,0,6,5
Maformatiker,1,0,0,1,3
MaryJml,1,0,0,6,6
milescajus,1,0,0,551,15
dependabot[bot],1,0,0,0,0
Boolunt,1,0,0,5,2
robyquin,1,0,0,7,2
roryoday,1,0,0,8,13
VernonKwa,1,0,0,4,2
leonzolati,1,0,0,9,4
DunkDoge,1,0,0,4,2
YesWeCandrew,1,0,0,4,2
sjb-ch1mp,1,0,0,45,17
shafinkamal,1,0,0,6,3
tomnguye,1,0,0,2,4
tobiasdiez,2,0,0,1375,106
qingyacanxue,1,0,0,5,9
btut,2,0,0,42,11
koppor,1,0,0,931,251
vithlaithla,1,0,0,191,18
k3KAW8Pnf7mkmdSMPHz27,1,0,0,749,32
dmadoery,1,0,0,3,1
EbookFoundation,1,0,0,0,0
dependabot[bot],2,0,0,0,0
Andipstha,1,0,0,424,31
suzarilshah,3,0,0,87,20
RiyaBhaskar12,1,0,0,72,15
Akash190104,1,0,0,246,58
AshishSharma1203,1,0,0,343,53
Enhmunh-E,1,0,0,587,36
torn4dom4n,1,0,0,0,3
davorpa,3,0,0,1388,111
LuigiImVector,2,0,0,352,15
SethFalco,1,0,0,965,130
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,0,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,0,0,95,8
chavesana,1,18,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,2,0,95,8
chavesana,1,18,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,2,1,95,8
chavesana,1,18,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,2,1,95,8
chavesana,1,18,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,2,1,95,8
EbookFoundation,1,0,0,0,0
dependabot[bot],2,0,0,0,0
Andipstha,1,28,22,424,31
suzarilshah,3,6,5,87,20
RiyaBhaskar12,1,2,6,72,15
Akash190104,1,10,17,246,58
AshishSharma1203,1,4,12,343,53
Enhmunh-E,1,9,4,587,36
torn4dom4n,1,0,0,0,3
davorpa,3,275,409,1388,111
LuigiImVector,2,53,3,352,15
SethFalco,1,127,24,965,130
jabref,1,0,0,0,0
NiD133,1,1,0,414,3
Alex-Chenzilin,1,0,4,12,11
Siedlerchr,3,37,46,1945,51
calixtus,1,8,5,313,7
mohanNaryana,1,0,0,6,5
Maformatiker,1,0,0,1,3
MaryJml,1,0,0,6,6
milescajus,1,1,1,551,15
dependabot[bot],1,0,0,0,0
Boolunt,1,0,0,5,2
robyquin,1,0,0,7,2
roryoday,1,1,0,8,13
VernonKwa,1,1,0,4,2
leonzolati,1,1,1,9,4
DunkDoge,1,0,0,4,2
YesWeCandrew,1,0,0,4,2
sjb-ch1mp,1,6,1,45,17
shafinkamal,1,0,0,6,3
tomnguye,1,0,0,2,4
tobiasdiez,2,58,0,1375,106
qingyacanxue,1,1,1,5,9
btut,2,3,1,42,11
koppor,1,245,424,931,251
vithlaithla,1,0,0,191,18
k3KAW8Pnf7mkmdSMPHz27,1,15,54,749,32
dmadoery,1,0,0,3,1
igorsteinmacher,1,99,6,151,69
rails,1,0,0,0,0
ghiculescu,5,84,1,3278,196
kryzhovnik,1,9,5,528,47
nvasilevski,1,4,0,284,23
agios,1,7,2,133,70
adityapandit17,1,6,3,5,33
camertron,1,195,4,1076,199
serprex,1,68,30,257,98
casperisfine,1,112,1,2144,196
fatkodima,2,62,8,751,49
monorkin,1,55,38,829,56
jeffcarbs,1,22,0,46,57
Vasfed,1,25,23,3399,94
jonathanhefner,1,81,19,1577,88
wakairo,1,0,0,313,9
suzunedev,1,1,2,201,14
psantos10,1,64,105,1215,97
alison-acuna,1,1,2,25,60
maxim,1,167,20,78,101
benkoshy,1,25,14,328,172
r7kamura,1,841,0,11653,361
ianks,1,116,101,2196,241
skipkayhil,1,13,0,441,45
Mangara,1,9,5,3545,30
matthewd,1,455,6,321,77
shouichi,1,21,0,7875,59
rails,1,0,0,0,0
ghiculescu,5,84,1,3278,196
kryzhovnik,1,9,5,528,47
nvasilevski,1,4,0,284,23
agios,1,7,2,133,70
adityapandit17,1,6,3,5,33
camertron,1,195,4,1076,199
serprex,1,68,30,257,98
casperisfine,1,112,1,2144,196
fatkodima,2,62,8,751,49
monorkin,1,55,38,829,56
jeffcarbs,1,22,0,46,57
Vasfed,1,25,23,3399,94
jonathanhefner,1,81,19,1577,88
wakairo,1,0,0,313,9
suzunedev,1,1,2,201,14
psantos10,1,64,105,1215,97
alison-acuna,1,1,2,25,60
maxim,1,167,20,78,101
benkoshy,1,25,14,328,172
r7kamura,1,841,0,11653,361
ianks,1,116,101,2196,241
skipkayhil,1,13,0,441,45
Mangara,1,9,5,3545,30
matthewd,1,455,6,321,77
shouichi,1,21,0,7875,59
igorsteinmacher,1,99,6,151,69
chavesana,1,18,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,2,1,95,8
EbookFoundation,1,0,0,0,0
dependabot[bot],2,0,0,0,0
Andipstha,1,28,22,424,31
suzarilshah,3,6,5,87,20
RiyaBhaskar12,1,2,6,72,15
Akash190104,1,10,17,246,58
AshishSharma1203,1,4,12,343,53
Enhmunh-E,1,9,4,587,36
torn4dom4n,1,0,0,0,3
davorpa,3,275,409,1388,111
LuigiImVector,2,53,3,352,15
SethFalco,1,127,24,965,130
freeCodeCamp,1,0,0,0,0
raineyfu,1,0,0,99,16
jcjc2019,2,9,14,88,270
LjeNuiN,1,2,2,281,4
JesseZelaya,1,0,0,20,14
t-fa,1,4,5,64,27
Sembauke,1,54,12,1310,27
chowdharysn56,1,0,0,3,2
Nirajn2311,1,67,61,588,35
mmatsumoto1026,1,4,23,35,33
MayurSMahajan,1,7,24,318,30
bryanleemoore,1,0,0,267,16
rajgaur98,1,3,6,1439,38
bbsmooth,1,6,0,200,7
naomi-lgbt,2,751,75,10598,44
Sboonny,2,33,28,2163,84
KravMaguy,3,6,15,151,41
ShaunSHamilton,2,80,16,2296,72
raisedadead,2,799,79,2302,18
nayabatir1,2,6,0,239,25
Atish03,1,10,4,247,16
NiharPhansalkar,1,1,2,132,23
tom-raley,1,8,3,14,47
EbookFoundation,1,0,0,0,0
dependabot[bot],2,0,0,0,0
Andipstha,1,28,22,424,31
suzarilshah,3,6,5,87,20
RiyaBhaskar12,1,2,6,72,15
Akash190104,1,10,17,246,58
AshishSharma1203,1,4,12,343,53
Enhmunh-E,1,9,4,587,36
torn4dom4n,1,0,0,0,3
davorpa,3,275,409,1388,111
LuigiImVector,2,53,3,352,15
SethFalco,1,127,24,965,130
chavesana,1,18,0,113,10
Nandakumar143,2,0,0,6,2
skylar965,1,0,0,3,2
NKWesely,1,2,1,95,8
